  Line,  Analysis,             Time Code,           Port,  Inj Nr,  d(17_16)Mean,  d(18_16)Mean,    d(D_H)Mean,      E17_Mean,      H2O_Mean,  Ignore, Good,                            Identifier 1,                            Identifier 2,   Gas Configuration,Timestamp Mean,   d(17_16)_SD,   d(18_16)_SD,     d(D_H)_SD,        E17_SD,        H2O_SD,   d(18_16)_Sl,     d(D_H)_Sl,        H2O_Sl,baseline_shift,   slope_shift,     residuals,baseline_curvature,      interval,       ch4_ppm,  h16od_adjust,   h16od_shift,n2_flag,Resistance,      DAS Temp,      Tray,  Sample,     Job,    Method,Error Code,Pulse Good
13,    P-1956,   2022/09/20 12:16:31,           1-01,13,-0.074,-0.502,2.779,0.191,19586,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663690898,0.203,0.191,0.438,0.144,170.929,-0.002,-0.004,4.068,94.38,23.967,1.028,58.495,0.919,0.002,0,0,0,"    
21.63",39.938,1,1,1,WassenaarRS,0,1
14,    P-1956,   2022/09/20 12:25:30,           1-01,14,-0.069,-0.497,2.737,0.193,19665,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663691438,0.212,0.173,0.437,0.154,170.377,-0.001,-0.005,4.078,94.746,24.239,1.017,58.131,0.92,-0.07,0,0,0,"    
21.66",40.375,1,1,1,WassenaarRS,0,1
15,    P-1956,   2022/09/20 12:34:31,           1-01,15,-0.076,-0.507,2.769,0.192,19685,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663691979,0.215,0.188,0.444,0.148,167.107,-0.001,-0.006,4.001,94.786,24.218,1.024,58.686,0.919,0.056,0,0,0,"    
21.56",40.875,1,1,1,WassenaarRS,0,1
16,    P-1956,   2022/09/20 12:43:31,           1-01,16,-0.05,-0.477,2.998,0.202,19661,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663692519,0.195,0.183,0.377,0.135,165.011,-0.001,-0.004,3.947,94.663,24.106,1.032,58.764,0.92,0.068,0,0,0,"    
21.69",41,1,1,1,WassenaarRS,0,1
17,    P-1956,   2022/09/20 12:52:32,           1-01,17,-0.075,-0.502,2.895,0.19,19529,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663693059,0.216,0.188,0.407,0.148,164.47,-0.001,-0.003,3.949,94.076,23.986,1.025,58.372,0.922,0.099,0,0,0,"    
21.71",40.75,1,1,1,WassenaarRS,0,1
18,    P-1956,   2022/09/20 13:01:32,           1-01,18,-0.034,-0.447,2.978,0.202,19621,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663693600,0.22,0.188,0.414,0.152,164.614,-0.001,-0.003,3.941,94.575,24.065,1.021,58.272,0.924,-0.031,0,0,0,"    
21.65",40.375,1,1,1,WassenaarRS,0,1
19,    P-1956,   2022/09/20 13:10:32,           1-01,19,-0.063,-0.461,3.028,0.18,19448,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663694140,0.217,0.187,0.409,0.156,162.214,-0.001,-0.005,3.902,93.749,23.844,1.015,58.098,0.921,0.022,0,0,0,"    
21.58",40.062,1,1,1,WassenaarRS,0,1
20,    P-1956,   2022/09/20 13:19:32,           1-01,20,-0.025,-0.441,3.22,0.208,19558,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663694680,0.2,0.194,0.419,0.142,163.65,-0.001,-0.005,3.929,94.289,24.048,1.01,58.147,0.923,-0.016,0,0,0,"    
21.60",39.875,1,1,1,WassenaarRS,0,1
21,    P-1956,   2022/09/20 13:28:33,           1-01,21,-0.075,-0.481,2.885,0.179,19522,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663695221,0.225,0.181,0.407,0.163,166.761,-0.001,-0.005,4.007,94.086,24.048,1.01,57.956,0.922,0.039,0,0,0,"    
21.65",39.688,1,1,1,WassenaarRS,0,1
22,    P-1956,   2022/09/20 13:37:32,           1-01,22,-0.042,-0.485,3.003,0.214,19697,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663695760,0.187,0.183,0.424,0.132,167.746,-0.002,-0.005,4.031,94.846,24.202,1.028,58.71,0.922,0.045,0,0,0,"    
21.61",39.875,1,1,1,WassenaarRS,0,1
23,    P-1956,   2022/09/20 13:46:32,           1-01,23,-0.063,-0.482,2.943,0.192,19508,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663696300,0.236,0.186,0.423,0.167,166.09,-0.001,-0.005,3.97,94.025,23.846,1.026,58.483,0.92,0.028,0,0,0,"    
21.62",40.438,1,1,1,WassenaarRS,0,1
24,    P-1956,   2022/09/20 13:55:32,           1-01,24,-0.053,-0.48,3.028,0.2,19639,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663696840,0.216,0.194,0.449,0.147,163.655,-0.002,-0.003,3.937,94.588,24.273,1.017,58.243,0.921,0.038,0,0,0,"    
21.59",40.812,1,1,1,WassenaarRS,0,1
25,    P-1956,   2022/09/20 14:04:32,           1-01,25,-0.04,-0.487,2.961,0.217,19626,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663697381,0.223,0.197,0.429,0.157,163.208,-0.001,-0.003,3.915,94.546,24.06,1.024,58.632,0.923,0.057,0,0,0,"    
21.64",40.75,1,1,1,WassenaarRS,0,1
26,    P-1956,   2022/09/20 14:13:33,           1-01,26,-0.033,-0.478,3.004,0.219,19509,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663697921,0.213,0.18,0.437,0.156,161.414,-0.001,-0.005,3.868,94.056,24.024,1.012,57.888,0.924,0.013,0,0,0,"    
21.70",40.375,1,1,1,WassenaarRS,0,1
27,    P-1956,   2022/09/20 14:22:33,           1-01,27,-0.039,-0.456,3.124,0.202,19640,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663698461,0.217,0.185,0.449,0.159,162.768,-0.001,-0.005,3.904,94.577,24.115,1.027,58.807,0.924,0.073,0,0,0,"    
21.66",40.062,1,1,1,WassenaarRS,0,1
28,    P-1956,   2022/09/20 14:31:32,           1-01,28,-0.048,-0.502,3.042,0.217,19485,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663699000,0.222,0.188,0.437,0.171,163.565,-0.001,-0.005,3.93,93.911,23.886,1.021,58.3,0.921,0.084,0,0,0,"    
21.63",39.875,1,1,1,WassenaarRS,0,1
29,    P-1956,   2022/09/20 14:40:32,           1-01,29,-0.054,-0.474,3.165,0.196,19522,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663699540,0.208,0.174,0.45,0.146,163.129,0,-0.004,3.908,94.044,24,1.023,58.291,0.918,0.077,0,0,0,"    
21.63",39.625,1,1,1,WassenaarRS,0,1
30,    P-1956,   2022/09/20 14:49:33,           1-01,30,-0.027,-0.465,3.113,0.219,19497,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663700081,0.207,0.166,0.436,0.157,165.562,-0.001,-0.005,3.967,94.022,24.006,1.01,57.728,0.923,-0.036,0,0,0,"    
21.59",39.438,1,1,1,WassenaarRS,0,1
31,    P-1956,   2022/09/20 14:58:34,           1-01,31,-0.085,-0.534,3.143,0.197,19750,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663700622,0.204,0.178,0.414,0.152,166.716,-0.001,-0.004,4.004,95.016,24.326,1.027,59.016,0.922,0.073,0,0,0,"    
21.63",39.75,1,1,1,WassenaarRS,0,1
32,    P-1956,   2022/09/20 15:07:34,           1-01,32,-0.085,-0.51,3.234,0.184,19677,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663701162,0.227,0.204,0.454,0.157,167.777,-0.002,-0.005,4.01,94.701,23.997,1.044,59.363,0.92,0.125,0,0,0,"    
21.67",40.25,1,1,1,WassenaarRS,0,1
33,    P-1956,   2022/09/20 15:16:34,           1-01,33,-0.094,-0.532,3.14,0.187,19581,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663701702,0.237,0.191,0.42,0.169,164.481,-0.001,-0.004,3.933,94.245,24.14,1.026,58.521,0.92,0.159,0,0,0,"    
21.62",40.625,1,1,1,WassenaarRS,0,1
34,    P-1956,   2022/09/20 15:25:34,           1-01,34,-0.082,-0.529,3.021,0.197,19548,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663702242,0.228,0.184,0.403,0.163,162.964,-0.001,-0.003,3.888,94.132,24.134,1.018,58.276,0.922,0.104,0,0,0,"    
21.55",40.562,1,1,1,WassenaarRS,0,1
35,    P-1956,   2022/09/20 15:34:34,           1-01,35,-0.047,-0.484,3.103,0.209,19539,0,1,                                 DummyKD,                                T1V1-ID2,                 H2O,1663702782,0.229,0.195,0.435,0.166,160.425,-0.001,-0.005,3.874,94.161,23.965,1.024,58.319,0.922,0.06,0,0,0,"    
21.69",40.25,1,1,1,WassenaarRS,0,1
36,    P-1957,   2022/09/20 15:44:33,           1-02,1,0.705,0.935,0.559,0.211,19715,-1,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663703381,0.217,0.18,0.413,0.152,165.004,-0.001,-0.003,3.965,94.878,24.17,1.031,59.137,0.921,0.107,0,0,0,"    
21.74",39.875,1,2,2,WassenaarRS,0,1
37,    P-1957,   2022/09/20 15:53:33,           1-02,2,0.632,0.744,-0.662,0.239,21328,-1,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663703921,0.232,0.183,0.365,0.169,172.878,-0.001,-0.001,4.094,101.999,26.119,1.135,63.37,0.922,0.057,0,0,0,"    
21.64",39.688,1,2,2,WassenaarRS,0,1
38,    P-1957,   2022/09/20 16:02:33,           1-02,3,0.769,1.043,0.591,0.218,19602,-1,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663704462,0.192,0.194,0.43,0.135,168.329,-0.001,-0.005,4.025,94.407,23.952,1.031,58.909,0.921,0.063,0,0,0,"    
21.60",39.5,1,2,2,WassenaarRS,0,1
39,    P-1957,   2022/09/20 16:11:34,           1-02,4,0.785,1.03,0.229,0.241,19668,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663705002,0.22,0.185,0.419,0.165,167.374,-0.001,-0.005,4.015,94.704,24.212,1.022,58.496,0.923,0.014,0,0,0,"    
21.56",40,1,2,2,WassenaarRS,0,1
40,    P-1957,   2022/09/20 16:20:33,           1-02,5,0.777,1.023,0.532,0.237,19693,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663705540,0.217,0.2,0.426,0.156,166.23,-0.001,-0.004,3.986,94.814,24.062,1.035,59.053,0.922,0.063,0,0,0,"    
21.65",40.375,1,2,2,WassenaarRS,0,1
41,    P-1957,   2022/09/20 16:29:33,           1-02,6,0.832,1.095,0.614,0.254,19692,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663706081,0.19,0.184,0.429,0.133,162.535,-0.001,-0.004,3.916,94.848,24.143,1.028,58.685,0.919,0.039,0,0,0,"    
21.61",40.625,1,2,2,WassenaarRS,0,1
42,    P-1957,   2022/09/20 16:38:33,           1-02,7,0.826,1.091,0.101,0.25,19566,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663706621,0.244,0.204,0.429,0.175,162.882,-0.002,-0.004,3.878,94.363,23.892,1.023,58.319,0.923,0.01,0,0,0,"    
21.62",40.562,1,2,2,WassenaarRS,0,1
43,    P-1957,   2022/09/20 16:47:33,           1-02,8,0.767,1.056,0.39,0.21,19624,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663707161,0.217,0.198,0.448,0.15,162.949,-0.001,-0.005,3.911,94.46,24.077,1.034,58.846,0.921,0.153,0,0,0,"    
21.71",40.188,1,2,2,WassenaarRS,0,1
44,    P-1957,   2022/09/20 16:56:33,           1-02,9,0.797,1.066,0.41,0.234,19568,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663707701,0.197,0.194,0.403,0.137,162.641,-0.001,-0.003,3.909,94.271,23.986,1.025,58.605,0.923,0.061,0,0,0,"    
21.68",39.812,1,2,2,WassenaarRS,0,1
45,    P-1957,   2022/09/20 17:05:33,           1-02,10,0.795,1.072,0.37,0.229,19641,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663708241,0.218,0.191,0.415,0.152,166.465,-0.001,-0.003,3.981,94.577,24.273,1.018,58.229,0.92,-0.022,0,0,0,"    
21.69",39.5,1,2,2,WassenaarRS,0,1
46,    P-1957,   2022/09/20 17:14:32,           1-02,11,0.803,1.061,0.556,0.243,19619,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663708779,0.228,0.202,0.394,0.149,166.445,-0.001,-0.003,4.003,94.497,24.012,1.027,58.77,0.921,0.071,0,0,0,"    
21.59",39.812,1,2,2,WassenaarRS,0,1
47,    P-1957,   2022/09/20 17:23:33,           1-02,12,0.794,1.071,0.529,0.229,19617,0,1,                               SuperBoil,                                T1V2-ID2,                 H2O,1663709321,0.217,0.181,0.414,0.153,164.021,-0.001,-0.004,3.937,94.473,24.097,1.023,58.583,0.922,0.034,0,0,0,"    
21.67",40.25,1,2,2,WassenaarRS,0,1
48,    P-1958,   2022/09/20 17:33:32,           1-03,1,1.741,2.863,8.256,0.23,19847,-1,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663709920,0.228,0.183,0.43,0.167,163.674,-0.001,-0.005,3.907,95.48,24.256,1.047,59.597,0.922,0.068,0,0,0,"    
21.66",40.625,1,3,3,WassenaarRS,0,1
49,    P-1958,   2022/09/20 17:42:33,           1-03,2,1.536,2.492,7.392,0.221,21751,-1,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663710461,0.223,0.209,0.468,0.153,168.446,-0.001,-0.006,4.012,103.813,26.304,1.184,65.892,0.923,0.212,0,0,0,"    
21.58",40.562,1,3,3,WassenaarRS,0,1
50,    P-1958,   2022/09/20 17:51:32,           1-03,3,1.802,2.989,9.33,0.224,19541,-1,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663711000,0.213,0.194,0.439,0.147,163.29,-0.001,-0.005,3.908,94.129,23.967,1.026,58.396,0.924,0.066,0,0,0,"    
21.68",40.188,1,3,3,WassenaarRS,0,1
51,    P-1958,   2022/09/20 18:00:32,           1-03,4,1.811,2.978,9.484,0.239,19532,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663711540,0.206,0.18,0.432,0.141,161.765,-0.001,-0.006,3.888,94.114,23.94,1.02,58.419,0.922,0.009,0,0,0,"    
21.60",39.812,1,3,3,WassenaarRS,0,1
52,    P-1958,   2022/09/20 18:09:33,           1-03,5,1.82,2.99,9.404,0.242,19533,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663712080,0.207,0.19,0.45,0.144,165.704,-0.001,-0.006,3.956,94.099,24.025,1.019,58.286,0.921,0.012,0,0,0,"    
21.60",39.688,1,3,3,WassenaarRS,0,1
53,    P-1958,   2022/09/20 18:18:32,           1-03,6,1.834,3.024,9.823,0.238,19649,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663712620,0.215,0.206,0.475,0.157,165.239,-0.002,-0.006,3.938,94.627,24.064,1.027,58.742,0.923,0.042,0,0,0,"    
21.61",40,1,3,3,WassenaarRS,0,1
54,    P-1958,   2022/09/20 18:27:32,           1-03,7,1.828,3.012,9.777,0.238,19601,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663713160,0.226,0.21,0.416,0.157,165.961,-0.002,-0.005,3.98,94.379,24.011,1.03,58.866,0.918,0.132,0,0,0,"    
21.63",40.375,1,3,3,WassenaarRS,0,1
55,    P-1958,   2022/09/20 18:36:32,           1-03,8,1.845,2.999,9.574,0.262,19578,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663713700,0.224,0.188,0.462,0.163,160.796,-0.001,-0.005,3.837,94.34,24.018,1.013,58.33,0.922,0.007,0,0,0,"    
21.57",40.625,1,3,3,WassenaarRS,0,1
56,    P-1958,   2022/09/20 18:45:33,           1-03,9,1.883,3.069,9.676,0.264,19525,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663714241,0.234,0.201,0.472,0.172,159.876,-0.001,-0.006,3.859,94.139,23.785,1.024,58.459,0.924,-0.013,0,0,0,"    
21.66",40.312,1,3,3,WassenaarRS,0,1
57,    P-1958,   2022/09/20 18:54:34,           1-03,10,1.842,3.026,9.762,0.245,19497,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663714781,0.205,0.176,0.418,0.148,162.952,-0.002,-0.004,3.907,93.944,23.895,1.023,58.405,0.923,0.057,0,0,0,"    
21.71",39.938,1,3,3,WassenaarRS,0,1
58,    P-1958,   2022/09/20 19:03:33,           1-03,11,1.825,3.019,9.706,0.232,19586,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663715320,0.224,0.198,0.413,0.159,167.957,-0.002,-0.004,4.011,94.344,23.948,1.027,58.636,0.922,0.064,0,0,0,"    
21.69",39.812,1,3,3,WassenaarRS,0,1
59,    P-1958,   2022/09/20 19:12:33,           1-03,12,1.832,2.999,9.59,0.249,19550,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663715861,0.215,0.199,0.385,0.144,165.857,-0.002,-0.004,3.988,94.197,24.072,1.018,58.066,0.921,0.034,0,0,0,"    
21.58",40.25,1,3,3,WassenaarRS,0,1
60,    P-1958,   2022/09/20 19:21:33,           1-03,13,1.852,3.015,9.795,0.261,19605,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663716401,0.234,0.212,0.39,0.159,165.016,-0.001,-0.004,3.97,94.418,23.975,1.03,58.764,0.921,0.061,0,0,0,"    
21.70",40.625,1,3,1,WassenaarRS,0,1
61,    P-1958,   2022/09/20 19:30:33,           1-03,14,1.846,3.026,9.783,0.249,19594,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663716941,0.222,0.197,0.426,0.155,159.594,0,-0.005,3.807,94.354,23.976,1.032,58.903,0.921,0.083,0,0,0,"    
21.69",40.875,1,3,1,WassenaarRS,0,1
62,    P-1958,   2022/09/20 19:39:34,           1-03,15,1.831,3.03,9.863,0.232,19486,0,1,                              UltraBoil,                                T1V3-ID2,                 H2O,1663717481,0.193,0.181,0.413,0.141,160.592,-0.001,-0.003,3.859,93.859,23.874,1.025,58.496,0.922,0.162,0,0,0,"    
21.74",40.625,1,3,1,WassenaarRS,0,1
63,    P-1959,   2022/09/20 19:49:34,           1-04,1,3.009,5.192,15.671,0.27,20056,-1,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663718082,0.24,0.212,0.454,0.166,166.389,-0.001,-0.005,3.979,96.45,24.35,1.063,60.448,0.925,0.005,0,0,0,"    
21.70",40.125,1,4,2,WassenaarRS,0,1
64,    P-1959,   2022/09/20 19:58:34,           1-04,2,2.735,4.71,14.166,0.25,21452,-1,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663718621,0.21,0.187,0.35,0.153,173.087,-0.001,-0.004,4.117,102.591,26.052,1.15,64.162,0.925,0.076,0,0,0,"    
21.73",39.75,1,4,2,WassenaarRS,0,1
65,    P-1959,   2022/09/20 20:07:34,           1-04,3,3.045,5.264,16.564,0.269,19540,-1,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663719162,0.21,0.2,0.435,0.146,167.702,-0.002,-0.005,4,94.225,23.825,1.016,58.438,0.922,-0.021,0,0,0,"    
21.59",39.875,1,4,2,WassenaarRS,0,1
66,    P-1959,   2022/09/20 20:16:34,           1-04,4,3.048,5.299,16.45,0.253,19725,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663719702,0.202,0.19,0.464,0.145,165.978,-0.001,-0.006,3.959,94.986,24.046,1.043,59.119,0.921,0.02,0,0,0,"    
21.61",40.25,1,4,2,WassenaarRS,0,1
67,    P-1959,   2022/09/20 20:25:33,           1-04,5,3.07,5.313,16.626,0.268,19539,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663720241,0.22,0.199,0.428,0.151,162.05,-0.001,-0.005,3.892,94.164,23.728,1.032,58.932,0.921,0.109,0,0,0,"    
21.61",40.562,1,4,2,WassenaarRS,0,1
68,    P-1959,   2022/09/20 20:34:33,           1-04,6,3.046,5.31,16.655,0.245,19477,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663720781,0.198,0.188,0.468,0.143,160.43,-0.001,-0.005,3.849,93.864,23.866,1.018,58.45,0.924,0.066,0,0,0,"    
21.64",40.562,1,4,2,WassenaarRS,0,1
69,    P-1959,   2022/09/20 20:43:34,           1-04,7,3.083,5.379,17.028,0.246,19606,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663721321,0.22,0.183,0.455,0.159,161.437,-0.001,-0.006,3.872,94.469,24.012,1.025,58.543,0.923,0.026,0,0,0,"    
21.67",40.125,1,4,2,WassenaarRS,0,1
70,    P-1959,   2022/09/20 20:52:34,           1-04,8,3.088,5.367,17.004,0.257,19432,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663721862,0.234,0.218,0.452,0.159,162.648,-0.001,-0.006,3.9,93.708,23.684,1.021,58.368,0.924,0.074,0,0,0,"    
21.68",39.75,1,4,2,WassenaarRS,0,1
71,    P-1959,   2022/09/20 21:01:34,           1-04,9,3.06,5.353,16.879,0.236,19559,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663722401,0.219,0.209,0.424,0.154,165.206,-0.002,-0.005,3.955,94.257,23.771,1.033,58.923,0.923,0.045,0,0,0,"    
21.60",39.812,1,4,2,WassenaarRS,0,1
72,    P-1959,   2022/09/20 21:10:33,           1-04,10,3.081,5.354,16.741,0.257,19723,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663722940,0.217,0.173,0.432,0.161,164.286,-0.001,-0.005,3.942,95.035,24.161,1.024,58.476,0.922,-0.036,0,0,0,"    
21.56",40.25,1,4,2,WassenaarRS,0,1
73,    P-1959,   2022/09/20 21:19:33,           1-04,11,3.088,5.344,16.775,0.269,19557,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663723480,0.212,0.193,0.448,0.154,163.568,-0.001,-0.005,3.926,94.296,23.893,1.02,58.297,0.923,-0.022,0,0,0,"    
21.53",40.562,1,4,2,WassenaarRS,0,1
74,    P-1959,   2022/09/20 21:28:33,           1-04,12,3.06,5.321,16.644,0.254,19575,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663724020,0.243,0.212,0.439,0.168,161.085,-0.001,-0.006,3.855,94.35,23.892,1.027,58.509,0.919,0.042,0,0,0,"    
21.67",40.812,1,4,2,WassenaarRS,0,1
75,    P-1959,   2022/09/20 21:37:32,           1-04,13,3.124,5.396,16.761,0.277,19507,0,1,                            SupremeBoil,                                T1V4-ID2,                 H2O,1663724560,0.24,0.222,0.408,0.161,159.311,-0.001,-0.003,3.847,94.082,23.811,1.016,58.338,0.922,-0.048,0,0,0,"    
21.66",40.562,1,4,2,WassenaarRS,0,1
